Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
493,0.0,39857.02,65,6.339622641509434,5,ASD-COA-GFL004-AHU070,0.88,BLOCKED,39857.75179999995,0.0,BLOCKED,39857.02
521,102.0,30994.24,79,6.427083333333333,6,ASD-MTB-FOF011-AHU045,0.0,DIRTY,31003.382300000023,0.0,DAMAGED,30994.24
204,0.0,31390.18,34,7.269230769230769,9,ASD-MTB-GFL06A-AHU171,6.26,DIRTY,31396.525000000005,21.0,DIRTY,31390.18
120,0.0,4808.7,11,20.214285714285715,5,ASD-MTB-FOF009-AHU061,14.44,DIRTY,4813.4445999999925,0.0,DIRTY,4808.7
707,0.0,6534.76,57,12.78125,12,ASD-MTB-GFL009-AHU007,15.98,DAMAGED,6527.398200000003,0.0,DAMAGED,6534.76
638,0.0,6038.96,31,16.15,10,ASD-COC-TFL002-AHU133,0.36,DAMAGED,6035.485800000002,0.0,DAMAGED,6038.96
841,0.0,23060.81,92,7.971153846153846,4,ASD-COA-GFL003-AHU074,0.8,NOISY,23040.302200000013,0.0,NOISY,23060.81
40,0.0,2191.74,8,6.368421052631579,3,ASD-MTB-GFL06A-AHU170,3.93,DIRTY,2191.312899999997,0.0,DIRTY,2191.74
223,0.0,4789.25,11,8.18421052631579,10,ASD-MTB-GFL07A-AHU176,4.32,BLOCKED,4785.301200000005,0.0,BLOCKED,4789.25
457,11.0,16315.34,49,10.0,4,ASD-MTB-FOF011-AHU025,0.0,NOT WORKING,16315.26590000002,0.0,NOT WORKING,16315.34
270,109.0,1172.0,11,25.83333333333333,10,ASD-COC-TFL006-AHU164,0.0,NOT WORKING,1172.0,0.0,NOT WORKING,1172.0
29,29.0,8952.8,9,7.06,2,ASD-MTB-FOF010-AHU032,0.0,DIRTY,8950.238800000003,0.0,DIRTY,8952.8
588,0.0,76054.72,128,4.3478260869565215,8,ASD-MTB-FOF008-AHU018,8.27,DIRTY,76030.46479999994,12.0,DIRTY,76054.72
0,0.0,1357.52,6,19.25,1,ASD-MTB-FOF024-AHU197,15.69,DIRTY,1357.277900000001,36.0,DIRTY,1357.52
226,0.0,7067.139999999999,36,5.2611940298507465,8,ASD-COA-GFL003-AHU072,12.11,DAMAGED,7066.6378000000095,15.0,DIRTY,7067.139999999999
264,0.0,26105.22,42,10.984848484848484,9,ASD-MTB-FOF011-AHU027,9.92,DIRTY,26098.43740000002,92.0,DIRTY,26105.22
53,0.0,6132.72,6,5.921875,3,ASD-COB-GFL020-AHU082,9.66,DIRTY,6128.1074,0.0,DIRTY,6132.72
438,0.0,22768.6,55,6.906976744186046,9,ASD-COB-GFL017-AHU085,17.58,DIRTY,22765.777000000006,0.0,DIRTY,22768.6
314,0.0,1920.64,14,20.83333333333333,11,ASD-COC-GFL002-AHU100,22.14,DAMAGED,1920.640000000004,31.0,NOT WORKING,1920.64
539,0.0,78716.3,73,7.269230769230769,8,ASD-MTB-GFL06A-AHU171,3.67,DAMAGED,78568.07869999997,0.0,DAMAGED,78716.3
27,0.0,1218.06,5,4.128865979381444,2,ASD-MTB-FOF021-AHU054,2.97,NOISY,1218.7027999999991,0.0,NOISY,1218.06
365,6.0,5115.78,49,7.888888888888889,1,ASD-COA-GFL002-AHU067,0.0,DIRTY,5115.728200000013,0.0,DIRTY,5115.78
538,25.0,2865.6,21,22.25,8,ASD-COC-TFL006-AHU165,0.0,DAMAGED,2865.6000000000017,0.0,DAMAGED,2865.6
538,0.0,30333.65,70,5.202702702702703,7,ASD-COA-GFL003-AHU184,1.76,NOT WORKING,30327.353099999986,0.0,NOT WORKING,30333.65
300,0.0,11397.24,30,7.149122807017544,11,ASD-COC-GFL002-AHU118,4.26,DIRTY,11399.899200000003,0.0,DIRTY,11397.24
446,27.0,30923.86,59,4.8359375,5,ASD-COB-GFL18A-AHU191,0.0,NOT WORKING,30914.488600000022,0.0,DAMAGED,30923.86
385,64.0,25353.35,67,5.140845070422535,2,ASD-MTB-FOF008-AHU014,0.0,DIRTY,25360.20820000001,0.0,DAMAGED,25353.35
11,11.0,0.0,3,8.76595744680851,1,ASD-COC-GFL004-AHU122,0.0,DIRTY,0.0,0.0,DAMAGED,0.0
482,0.0,30399.45,62,7.212121212121212,7,ASD-COB-GFL017-AHU086,1.36,DIRTY,30398.336800000005,0.0,DIRTY,30399.45
676,0.0,10598.89,58,11.5625,11,LSD-VCN-FFL-AHU199,1.57,DIRTY,10593.250900000006,0.0,DIRTY,10598.89
323,0.0,24155.1,104,2.9299065420560746,12,ASD-MTB-GFL007-AHU003,7.81,DAMAGED,24161.206900000005,31.0,WARNING,24155.1
710,0.0,14059.28,106,5.940298507462686,12,ASD-COC-GFL005-AHU123,0.4,DAMAGED,14059.031599999997,23.0,DAMAGED,14059.28
13,13.0,0.0,3,8.5,3,ASD-COA-GFL004-AHU073,0.0,DIRTY,0.0,0.0,DIRTY,0.0
635,5.0,1546.32,25,23.607142857142858,10,ASD-COC-TFL005-AHU162,0.0,DIRTY,1546.2310000000027,0.0,DIRTY,1546.32
625,0.0,40761.0,71,7.481481481481482,9,ASD-COC-GFL003-AHU120,1.76,DAMAGED,40735.54680000003,0.0,DAMAGED,40761.0
705,0.0,17843.8,118,5.607142857142857,1,ASD-COC-GFL005-AHU124,1.6,DIRTY,17843.933000000026,3.0,DIRTY,17843.8
232,53.0,1449.6,15,19.384615384615383,9,ASD-COC-TFL008-AHU154,0.0,DIRTY,1449.5992000000022,0.0,DAMAGED,1449.6
777,0.0,31210.52,116,6.627118644067797,3,ASD-COB-BAS17A-AHU205,2.51,DIRTY,31204.15170000001,16.0,DIRTY,31210.52
697,0.0,53049.64,170,3.0992063492063493,12,ASD-MTB-FOF010-AHU042,1.36,NOISY,53056.09759999996,0.0,NOISY,53049.64
481,0.0,3724.68,57,8.777777777777779,6,ASD-COB-GFL016-AHU091,5.83,WARNING,3723.0535,0.0,WARNING,3724.68
605,43.0,3593.28,33,16.95,9,LSD-PMS-BUI-AHU202,0.0,DAMAGED,3592.476400000006,0.0,DAMAGED,3593.28
574,0.0,5717.92,46,5.940298507462686,8,ASD-COC-GFL005-AHU123,0.13,DAMAGED,5719.230399999997,1.0,DAMAGED,5717.92
230,37.0,6502.9400000000005,31,5.642857142857143,8,ASD-COA-GFL001-AHU065,0.0,DIRTY,6502.858199999991,0.0,DIRTY,6502.9400000000005
