Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
284,0.0,3321.2,18,19.384615384615383,11,ASD-COC-TFL008-AHU154,45.86,DAMAGED,3321.095600000004,6.0,DIRTY,3321.2
633,0.0,8816.32,49,13.56,10,ASD-COC-GFL003-AHU103,31.45,DAMAGED,8814.134600000003,0.0,DAMAGED,8816.32
326,0.0,1125.75,13,15.875,3,ASD-MTB-GFL022-AHU010,30.3,DIRTY,1125.7073000000005,0.0,DIRTY,1125.75
390,0.0,3997.41,19,18.866666666666667,2,ASD-MTB-GFL025-AHU013,56.78,WARNING,3998.813400000003,0.0,WARNING,3997.41
170,0.0,1382.4,14,12.090909090909092,8,ASD-MTB-GFL013-AHU012,42.67,BLOCKED,1382.469799999998,2.0,DIRTY,1382.4
321,0.0,944.96,14,21.735294117647054,1,ASD-COC-TFL005-AHU163,35.92,DAMAGED,944.859800000001,175.0,DAMAGED,944.96
323,0.0,3321.2,22,19.384615384615383,12,ASD-COC-TFL008-AHU154,49.81,DAMAGED,3321.074800000004,20.0,NOT WORKING,3321.2
394,0.0,2603.04,26,21.08823529411765,2,ASD-COC-GFL004-AHU105,52.78,DAMAGED,2602.9708000000023,60.0,DAMAGED,2603.04
355,0.0,3876.32,22,19.964285714285715,2,ASD-COB-APR-AHU094,88.25,DAMAGED,3878.588299999999,119.0,DAMAGED,3876.32
579,0.0,48147.56,66,9.743589743589745,8,ASD-COB-GFL018-AHU084,37.25,DIRTY,48139.242699999995,0.0,DIRTY,48147.56
459,0.0,42.0,16,20.36842105263158,5,ASD-COC-GFL001-AHU098,43.51,DAMAGED,42.0,39.0,DAMAGED,42.0
32,0.0,876.84,9,15.875,3,ASD-COC-GFL005-AHU113,89.37,DIRTY,880.476099999999,0.0,DIRTY,876.84
457,0.0,1829.12,18,29.27777777777778,7,ASD-COA-BAS004-AHU182,39.84,DAMAGED,1828.9531999999974,72.0,DAMAGED,1829.12
83,0.0,0.0,6,25.83333333333333,4,ASD-COC-TFL006-AHU164,70.6,DAMAGED,0.0,77.0,DAMAGED,0.0
124,0.0,0.0,10,19.384615384615383,6,ASD-COC-TFL008-AHU154,41.05,NOT WORKING,0.0,28.0,DAMAGED,0.0
370,0.0,2575.52,26,15.5,1,ASD-COC-TFL002-AHU134,63.18,DAMAGED,2575.509999999995,11.0,DAMAGED,2575.52
378,0.0,3445.28,22,18.88235294117647,1,ASD-COC-TFL004-AHU142,85.63,DAMAGED,3445.180800000006,111.0,DAMAGED,3445.28
627,0.0,2116.96,28,21.735294117647054,11,ASD-COC-TFL005-AHU163,34.54,DAMAGED,2116.9599999999987,71.0,DAMAGED,2116.96
382,0.0,0.0,20,16.95,1,LSD-PMS-BUI-AHU202,69.06,DIRTY,0.0,31.0,DIRTY,0.0
268,0.0,12835.12,22,13.648148148148149,11,ASD-MTB-FOF07A-AHU179,43.45,DAMAGED,12835.059800000014,114.0,DAMAGED,12835.12
385,0.0,25388.18,68,5.140845070422535,2,ASD-MTB-FOF008-AHU014,31.83,DAMAGED,25374.260900000005,0.0,DAMAGED,25388.18
312,0.0,42.0,8,20.36842105263158,12,ASD-COC-GFL001-AHU098,53.8,DAMAGED,42.0,16.0,DAMAGED,42.0
82,0.0,1420.2,12,9.743589743589745,4,ASD-COB-GFL018-AHU084,34.69,DIRTY,1420.281799999999,31.0,DAMAGED,1420.2
329,0.0,5485.8,26,10.84722222222222,12,ASD-COB-GFL018-AHU090,51.0,DAMAGED,5485.813599999994,25.0,DAMAGED,5485.8
47,0.0,1357.52,11,19.25,2,ASD-MTB-FOF024-AHU197,34.02,NOT WORKING,1357.520700000001,0.0,NOT WORKING,1357.52
351,0.0,3438.32,20,19.25,12,ASD-MTB-FOF024-AHU197,44.0,LEAKAGE,3437.8024000000023,187.0,NOT WORKING,3438.32
170,0.0,375.66,6,24.071428571428573,7,ASD-COC-TFL008-AHU151,31.96,DIRTY,375.6520000000003,100.0,DIRTY,375.66
278,0.0,1517.92,24,11.838235294117649,11,ASD-COC-TFL001-AHU128,51.97,DAMAGED,1517.6600000000003,1.0,DIRTY,1517.92
342,0.0,26958.44,54,7.63953488372093,12,ASD-COB-GFL020-AHU081,43.8,DIRTY,26957.49779999996,4.0,DIRTY,26958.44
36,0.0,0.0,4,8.63953488372093,2,ASD-COC-GFL008-AHU115,33.65,WARNING,0.0,0.0,DAMAGED,0.0
295,0.0,2076.24,16,9.36904761904762,12,ASD-COB-AM5-AHU01,30.32,NOT WORKING,2076.055999999998,191.0,NOT WORKING,2076.24
364,0.0,18136.72,46,7.63953488372093,1,ASD-COA-GFL001-AHU071,31.04,DIRTY,18136.369099999978,24.0,DIRTY,18136.72
58,0.0,0.0,4,7.481481481481482,3,ASD-COC-GFL003-AHU120,50.51,DIRTY,0.0,12.0,DIRTY,0.0
0,0.0,0.0,2,8.18421052631579,2,ASD-MTB-GFL07A-AHU176,53.02,DIRTY,0.0,2.0,DAMAGED,0.0
307,0.0,0.0,10,29.77777777777778,11,ASD-COC-GFL006-AHU108,83.35,NOT WORKING,0.0,17.0,NOT WORKING,0.0
307,0.0,408.6,8,25.33333333333333,11,ASD-COC-TFL006-AHU150,44.72,DAMAGED,408.6007999999993,10.0,DIRTY,408.6
379,0.0,28647.96,48,9.59722222222222,3,ASD-COB-GFL018-AHU080,67.36,DIRTY,28640.36530000001,0.0,DIRTY,28647.96
7,0.0,372.3,6,15.875,2,ASD-COC-GFL005-AHU113,39.52,DIRTY,372.29569999999984,25.0,DAMAGED,372.3
408,0.0,10813.98,45,8.25,2,ASD-COB-GFL020-AHU087,39.16,DIRTY,10813.963099999988,0.0,DIRTY,10813.98
368,0.0,782.4,20,17.522727272727273,1,ASD-COC-GFL002-AHU101,85.38,DIRTY,782.4967999999999,73.0,DIRTY,782.4
