Item Name,Item Description,Major Category,Minor Category,Asset Group,Quantity Issued,Total Value,MaintenanceType,CONTRACTOR,DEPARTMENT,TARGET RESPONSE DATE
HVC-FLR-733,"BAG FILTER - 10 POCKET, CLASS: F7, MERV RATING - 13+ CARBON, TYPE: MULTI POCKT PARTICLE & MOLECULER FILTER , FRAME: GALVANISED STEEL, MEDIA: GLASS FIBER & BS CARBON, ISO 16890: COARSE EPM1 60%, SIZE: 592X592X360MM - TM 76603-5",HVAC,FILTER,AIR HANDLING UNIT-05,6,1698.78,CM,,,
HVC-FLR-734,"BAG FILTER - 5 POCKET, CLASS: F7, MERV RATING - 13+ CARBON, TYPE: MULTI POCKT PARTICLE & MOLECULER FILTER , FRAME: GALVANISED STEEL, MEDIA: GLASS FIBER & BS CARBON, ISO 16890: COARSE EPM1 60%, SIZE: 287X592X360MM - TM 73602",HVAC,FILTER,AIR HANDLING UNIT-05,2,345.46,CM,,,
HVC-FLR-736,"DUST FILTER - CLASS: G4, MERV RATING - 8, ISO 16890: COARSE 70%, RECOMMENDED FINAL PRESSURE DROP: 250PA, SIZE: 289X594X95MM - 179-411-319",HVAC,FILTER,AIR HANDLING UNIT-05,2,54.24,CM,,,
HVC-FLR-743,"DUST FILTER - CLASS: G4, MERV RATING - 8, ISO 16890: COARSE 70%, RECOMMENDED FINAL PRESSURE DROP: 250PA, SIZE: 594X594X95MM - 179-411-863",HVAC,FILTER,AIR HANDLING UNIT-05,6,209.58,CM,,,
HVC-FLR-733,"BAG FILTER - 10 POCKET, CLASS: F7, MERV RATING - 13+ CARBON, TYPE: MULTI POCKT PARTICLE & MOLECULER FILTER , FRAME: GALVANISED STEEL, MEDIA: GLASS FIBER & BS CARBON, ISO 16890: COARSE EPM1 60%, SIZE: 592X592X360MM - TM 76603-5",HVAC,FILTER,AIR HANDLING UNIT-05,2,566.26,CM,,,
HVC-FLR-743,"DUST FILTER - CLASS: G4, MERV RATING - 8, ISO 16890: COARSE 70%, RECOMMENDED FINAL PRESSURE DROP: 250PA, SIZE: 594X594X95MM - 179-411-863",HVAC,FILTER,AIR HANDLING UNIT-05,2,69.86,CM,,,
HVC-FLR-664,"PRE FILTER - CLASS: G4, MERV RATING - 8, ISO 16890: COARSE 70%, RECOMMENDED FINAL PRESSURE DROP: 250PA, SIZE: 594X594X44MM - 170-112-863",HVAC,FILTER,AIR HANDLING UNIT-05,18,284.04,CM,,,
HVC-FLR-665,"PRE FILTER - CLASS: G4, MERV RATING - 8, ISO 16890: COARSE 70%, RECOMMENDED FINAL PRESSURE DROP: 250PA, SIZE: 289X594X44MM - 170-112-319",HVAC,FILTER,AIR HANDLING UNIT-05,6,68.1,CM,,,
HVC-FLR-733,"BAG FILTER - 10 POCKET, CLASS: F7, MERV RATING - 13+ CARBON, TYPE: MULTI POCKT PARTICLE & MOLECULER FILTER , FRAME: GALVANISED STEEL, MEDIA: GLASS FIBER & BS CARBON, ISO 16890: COARSE EPM1 60%, SIZE: 592X592X360MM - TM 76603-5",HVAC,FILTER,AIR HANDLING UNIT-05,18,5096.34,CM,,,
HVC-FLR-734,"BAG FILTER - 5 POCKET, CLASS: F7, MERV RATING - 13+ CARBON, TYPE: MULTI POCKT PARTICLE & MOLECULER FILTER , FRAME: GALVANISED STEEL, MEDIA: GLASS FIBER & BS CARBON, ISO 16890: COARSE EPM1 60%, SIZE: 287X592X360MM - TM 73602",HVAC,FILTER,AIR HANDLING UNIT-05,6,1036.38,CM,,,
