Asset Group,Issue Description,Target Resolution Time,Target Resolution Date & Time,Target Duration (Hours),Actual Response Date & Time,Actual Resolution Date & Time,Actual Duration (Minutes),Actual Operation Time(Minutes),Technicians Count,Owning Department,Work Order Department,Status,Priority,Location,Life & Safety Asset,Failure Code,Cause Code,MaintenanceType
AIR HANDLING UNIT-05,AC TOO COLD (MIST FORMING ON GLASS AFFECTING VISIBILITY) - (RAMP CONTROL TOWER) CONCOURSE A-FIFTH FLOOR AREA 01,,2022-08-06 22:49:12,24,2022-08-05 21:58:00,2022-08-05 23:55:00,117.0,57.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TEMP COLD IN SERVING AREA,CM
AIR HANDLING UNIT-05,AC TOO WARM  A5-01-02,,2022-08-07 06:31:06,24,2022-08-06 05:40:00,2022-08-06 08:00:00,140.0,65.0,2,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TOO HOT,CM
AIR HANDLING UNIT-05,RAMP CONTROL TOWER A 6TH FLOOR -  AC TOO COLD,,2022-12-12 02:53:28,24,2022-12-11 02:05:00,2022-12-11 03:00:00,55.0,55.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,LOW COOLING,NO PROPER CHILLED WATER SUPPLY,CM
AIR HANDLING UNIT-05,ABNORMAL SOUND FROM AHU – RCT CON A,,2023-10-11 09:50:13,24,2023-10-10 08:55:00,2023-10-10 12:30:00,215.0,645.0,3,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOISY,BEARING PROBLEM,CM
AIR HANDLING UNIT-05,AHU HEATER NOT WORKING :AHU-A1121-701,,2023-12-28 13:17:47,24,2023-12-27 12:25:00,2023-12-27 15:10:00,165.0,330.0,2,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,DAMAGED,ACCIDENT DUE TO MISHANDLING,CM
AIR HANDLING UNIT-05,AC TOO COLD (MIST FORMING ON GLASS AFFECTING VISIBILITY) - (RAMP CONTROL TOWER) CONCOURSE A-FIFTH FLOOR AREA 01,,2022-08-06 01:00:46,24,2022-08-05 00:05:00,2022-08-05 01:00:00,55.0,55.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TOO COLD,CM
AIR HANDLING UNIT-05,AC TOO HOT  RAMP CONTROL TOWER - A,,2022-09-12 06:29:49,24,2022-09-11 05:35:00,2022-09-11 08:00:00,145.0,65.0,2,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TEMP HOT  IN SERVING AREA,CM
AIR HANDLING UNIT-05,AC IS TOO COLD-ROOM 2137(TAG NO: A6-01-01 (RAMP CONTROL TOWER))-CONCOURSE A-SIXTH FLOOR AREA 01,,2023-07-23 03:19:09,24,2023-07-22 02:29:00,2023-07-22 06:00:00,211.0,51.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TEMP COLD IN SERVING AREA,CM
AIR HANDLING UNIT-05,FOUL SMELL COMING FROM UNKNOWN SOURCE - RCT A A5-01-02,,2024-01-20 23:48:36,24,2024-01-19 22:55:00,2024-01-19 23:55:00,60.0,60.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,BADSMELL,CLOGGED AIR FILTER,CM
AIR HANDLING UNIT-05,AC TOO COLD -  RCT -A,,2022-02-05 07:17:31,24,2022-02-04 06:25:00,2022-02-04 08:00:00,95.0,65.0,2,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TEMP COLD IN SERVING AREA,CM
